area,censitario,trabalhados,nao_trabalhados,im_aegypti,im_albopictus,focal,perifocal,nebulizacao,mecanico,alternativo
1,354980505000252,468,412,2,0,0,0,114,143,4
1,354980505000274,340,231,0,0,0,0,169,59,1
1,354980505000275,196,415,0,0,0,0,67,22,0
1,354980505000276,200,329,0,0,0,0,66,27,0
1,354980505000277,181,285,1,0,0,0,103,59,1
1,354980505000278,139,324,0,0,0,0,0,127,0
1,354980505000296,801,523,0,0,2,0,285,92,4
1,354980505000299,621,441,0,0,8,0,360,42,0
1,354980505000300,1135,656,0,0,8,0,458,57,2
1,354980505000301,1090,720,0,0,11,0,451,100,8
1,354980505000302,762,451,0,0,9,0,395,55,0
1,354980505000442,325,213,0,0,10,0,42,140,1
1,354980505000443,300,242,0,0,0,0,81,74,0
1,354980505000449,708,596,0,0,0,0,319,173,0
1,354980505000450,599,685,0,0,0,0,260,72,3
1,354980505000531,47,47,0,0,0,0,0,24,0
1,354980505000532,68,96,0,0,1,0,0,52,1
1,354980505000840,253,198,0,0,1,0,83,71,1
1,354980505000841,346,335,3,0,1,0,78,146,1
1,354980505000842,367,324,0,0,11,0,118,83,2
1,354980505000843,339,297,1,0,1,0,133,117,1
1,354980505000852,296,227,1,0,1,0,130,57,0
1,354980505000853,210,137,0,0,1,0,68,29,0
1,354980505000854,459,279,0,0,1,0,67,14,7
1,354980505000855,283,312,3,0,1,0,78,15,4
1,354980505000866,69,0,0,0,0,0,0,56,0
1,354980505000867,643,475,0,0,3,0,243,180,4
1,354980505000869,195,191,1,0,0,0,95,45,4
1,354980505000870,219,219,0,0,2,0,86,11,2
1,354980505000871,517,541,0,0,2,0,162,89,6
1,354980505000872,211,256,0,0,1,0,54,70,0
1,354980505000910,95,113,0,0,0,0,0,56,0
1,354980505000911,163,123,0,0,0,0,0,110,2
1,354980505001011,508,605,0,0,1,0,0,210,2
1,354980505001012,425,534,0,0,0,0,0,179,0
1,354980505001013,240,284,0,0,0,0,0,122,1
1,354980505001122,376,310,3,0,0,0,68,132,1
1,354980505001123,266,162,0,0,1,0,78,20,2
1,354980505001142,153,264,0,0,0,0,0,25,0
1,354980505001143,201,315,0,0,0,0,0,64,0
1,354980505001187,413,286,0,0,9,0,74,146,0
1,354980505001191,200,159,1,0,0,0,112,18,1
1,354980505001192,4,0,0,0,0,0,0,2,0
1,354980505001197,12,0,0,0,0,0,0,3,0
1,354980505001198,134,104,1,0,0,0,63,31,1
1,354980505001203,23,3,0,0,0,0,0,4,0
1,354980505001204,140,53,0,0,0,1,0,75,0
1,354980505001205,259,179,0,0,0,0,100,44,1
1,354980505001208,3,0,0,0,0,0,0,3,0
1,354980505001209,289,426,1,0,0,0,0,143,0
10,354980505000001,1142,236,0,0,0,0,197,8,3
10,354980505000003,580,115,0,0,0,0,58,17,1
10,354980505000004,994,144,0,0,0,0,98,7,4
10,354980505000005,253,164,0,0,0,0,0,13,4
10,354980505000006,241,87,0,0,0,0,32,1,0
10,354980505000009,233,93,0,0,0,0,104,6,0
10,354980505000010,417,126,1,0,0,0,137,19,2
10,354980505000012,96,33,0,0,0,0,50,0,0
10,354980505000013,152,46,0,0,0,0,54,1,0
10,354980505000019,87,28,1,0,0,0,0,2,0
10,354980505000020,90,55,0,0,0,0,0,1,0
10,354980505000022,384,143,0,0,0,0,121,0,0
10,354980505000023,245,73,0,0,0,0,92,6,0
10,354980505000024,152,55,0,0,0,0,38,0,0
10,354980505000026,49,20,1,0,0,0,0,1,0
10,354980505000027,75,54,0,0,0,0,0,1,0
10,354980505000028,143,99,1,0,0,0,0,1,0
10,354980505000029,272,126,0,0,1,0,47,4,0
10,354980505000030,85,31,1,0,1,0,0,1,0
10,354980505000043,49,33,0,0,1,0,0,1,0
10,354980505000045,102,98,0,0,0,0,0,1,2
10,354980505000046,564,95,1,0,0,0,0,2,3
10,354980505000047,263,61,0,0,1,0,16,1,1
10,354980505000048,98,33,0,0,0,0,0,0,0
10,354980505000049,193,107,1,0,0,0,0,10,2
10,354980505000070,15,14,0,0,0,0,0,0,0
10,354980505000071,20,8,0,0,0,0,0,0,0
10,354980505000072,21,12,0,0,0,0,0,1,0
10,354980505000073,406,102,2,0,0,0,0,2,1
10,354980505000222,64,33,0,0,1,0,0,0,0
10,354980505000407,281,264,0,0,0,0,0,2,1
10,354980505000408,275,184,0,0,0,0,0,3,2
10,354980505000409,223,155,0,0,2,0,28,5,0
10,354980505000413,144,139,0,0,0,0,0,1,2
10,354980505000414,230,173,0,0,1,0,0,8,3
10,354980505000521,102,47,0,0,0,0,0,3,0
10,354980505000578,32,24,0,0,0,0,0,0,0
10,354980505000579,53,39,0,0,0,0,0,0,0
10,354980505000580,120,40,0,0,0,0,11,1,0
10,354980505000581,125,38,0,0,0,0,43,0,0
10,354980505000584,129,130,0,0,0,0,1,1,0
10,354980505000585,117,57,2,0,0,0,0,0,0
10,354980505000595,58,18,0,0,0,0,0,0,0
10,354980505000602,65,17,0,0,0,0,0,3,0
10,354980505000603,24,9,0,0,0,0,0,0,0
10,354980505000669,357,189,0,0,0,0,0,16,3
10,354980505000670,240,180,0,0,0,0,0,16,4
10,354980505000672,132,75,0,0,0,0,0,3,1
10,354980505000673,122,75,0,0,1,0,1,6,2
10,354980505000674,103,62,0,0,0,0,1,4,0
10,354980505000675,83,58,0,0,1,0,0,0,0
10,354980505000676,147,144,0,0,0,0,0,0,0
10,354980505000677,139,100,0,0,2,0,0,18,1
10,354980505001084,14,2,0,0,0,0,0,0,0
10,354980505001086,618,190,0,0,0,0,131,3,1
10,354980505001087,104,66,0,0,0,0,29,0,0
10,354980505001088,174,71,0,0,0,0,63,0,0
10,354980505001089,105,39,0,0,0,0,0,0,0
10,354980505001094,209,106,0,0,0,0,0,6,0
10,354980505001095,148,84,0,0,0,0,0,0,0
10,354980505001096,32,11,0,0,0,0,32,0,0
10,354980505001097,68,33,0,0,0,0,0,0,0
10,354980505001104,27,5,0,0,0,0,0,0,0
10,354980505001105,72,11,0,0,0,0,0,0,0
10,354980505001165,39,24,0,0,0,0,0,0,0
10,354980505001166,41,16,0,0,0,0,0,0,0
10,354980505001177,35,17,0,0,0,0,0,0,0
10,354980505001178,87,22,0,0,0,0,0,0,0
10,354980505001249,44,18,0,0,0,1,0,1,0
101,354980505000804,29,12,0,0,0,0,0,0,2
101,354980505000807,2,0,0,0,0,0,0,0,0
101,354980505000930,21,0,0,0,2,0,0,12,0
101,354980505000971,33,18,0,0,0,0,0,6,0
101,354980505000973,205,105,0,0,0,0,0,61,0
101,354980505000976,8,1,0,0,0,0,0,0,0
101,354980505000987,400,10,1,0,0,0,0,3,0
101,354980505001017,25,0,0,0,0,0,0,13,0
101,354980505001030,1,1,0,0,0,0,0,1,0
101,354980505001161,5,0,1,0,0,0,0,5,0
101,354980505001162,69,22,0,0,4,0,1,49,3
101,354980505001163,5,0,0,0,0,0,0,3,0
101,354980505001223,4,0,0,0,1,0,0,2,0
101,354980505001262,7,0,0,0,0,0,0,2,0
101,354980505001267,10,0,0,0,0,0,0,0,0
101,354980505001269,5,0,0,0,0,0,0,0,0
101,354980505001270,45,10,0,0,0,0,0,2,0
101,354980505001282,20,0,0,0,1,0,0,0,0
101,354980510000069,12,4,0,0,0,0,0,0,0
101,354980510000075,1,0,0,0,0,0,0,0,0
101,354980510000096,1,1,0,0,0,0,0,0,0
101,354980510000097,15,0,0,0,0,0,0,6,0
101,354980510000101,22,3,0,0,0,0,0,22,2
101,354980520000003,90,19,0,0,0,0,0,0,0
101,354980520000016,58,8,0,0,0,0,0,0,0
101,354980520000020,56,31,0,0,0,0,0,1,0
101,354980520000024,51,1,0,0,0,0,0,0,0
101,354980520000030,38,5,0,0,0,0,0,0,0
101,354980520000034,40,57,0,0,0,0,0,0,0
11,354980505000040,386,278,0,0,2,0,107,20,4
11,354980505000041,612,342,0,0,8,0,195,20,1
11,354980505000062,172,96,4,0,3,0,0,24,3
11,354980505000065,428,162,0,0,1,0,0,7,1
11,354980505000066,812,515,0,0,1,0,102,42,1
11,354980505000067,1335,715,0,0,27,0,205,64,7
11,354980505000068,1014,511,1,0,27,0,155,44,2
11,354980505000089,141,129,0,0,2,0,0,10,1
11,354980505000090,242,126,1,0,3,0,0,18,2
11,354980505000592,420,238,0,0,0,0,132,28,3
11,354980505000593,401,216,0,0,4,0,116,28,4
11,354980505000598,106,110,3,0,2,0,0,17,0
11,354980505000599,127,94,1,0,1,0,0,19,5
11,354980505000600,221,172,2,0,0,0,0,12,4
11,354980505000601,260,172,0,0,0,0,1,19,3
11,354980505000610,156,117,3,0,1,0,0,14,3
11,354980505000611,16,4,0,0,0,0,0,3,1
11,354980505000612,267,217,0,0,0,0,0,14,1
11,354980505000613,141,73,0,0,3,0,0,3,1
11,354980505001112,72,80,0,0,1,0,0,4,1
11,354980505001113,67,47,2,0,1,0,0,6,1
11,354980505001167,482,360,2,0,9,0,0,27,8
11,354980505001168,143,31,0,0,4,0,0,12,2
12,354980505000550,32,0,2,0,1,0,0,11,3
12,354980505000569,269,211,2,0,1,0,0,97,9
12,354980505000800,58,44,0,0,0,0,0,20,9
12,354980505000804,35,12,2,0,0,0,0,19,1
12,354980505001082,42,18,1,0,0,0,0,10,1
12,354980505001083,64,19,1,0,0,0,0,18,8
12,354980510000005,657,442,1,0,0,0,148,8,1
12,354980510000007,454,214,0,0,0,0,113,22,0
12,354980510000008,585,420,1,0,0,0,131,42,5
12,354980510000009,167,122,2,0,0,0,26,21,0
12,354980510000010,54,12,4,0,1,0,0,10,4
12,354980510000021,17,16,0,0,0,0,0,4,4
12,354980510000028,116,67,0,0,0,0,0,15,2
12,354980510000029,269,219,0,0,0,0,0,36,0
12,354980510000031,56,23,0,0,0,0,0,5,2
12,354980510000037,457,169,1,0,0,0,135,11,3
12,354980510000038,375,199,0,0,0,0,126,35,7
12,354980510000039,31,14,0,0,0,0,0,17,0
12,354980510000040,677,465,0,0,0,0,170,25,1
12,354980510000041,253,174,0,0,2,0,64,20,11
12,354980510000042,176,167,0,0,0,0,39,13,1
12,354980510000043,317,225,0,0,0,0,89,23,8
12,354980510000044,172,62,1,0,0,0,0,18,2
12,354980510000045,354,204,1,0,1,0,132,29,3
12,354980510000046,394,279,0,0,1,0,163,25,2
12,354980510000076,257,288,0,0,0,0,0,76,1
12,354980510000077,135,161,0,0,0,0,0,24,0
12,354980510000080,82,36,3,0,1,0,0,31,3
12,354980510000081,63,26,2,0,0,0,0,24,3
12,354980510000082,86,23,3,0,1,0,0,25,7
12,354980510000084,408,189,1,0,1,0,0,52,8
12,354980510000097,539,182,0,0,0,0,0,198,2
13,354980505000134,276,239,1,0,0,0,144,9,0
13,354980505000135,227,148,0,0,0,0,69,30,0
13,354980505000138,628,418,0,0,0,0,378,24,5
13,354980505000139,895,504,1,0,1,0,419,51,6
13,354980505000140,468,373,0,0,0,0,304,51,0
13,354980505000142,345,257,0,0,0,0,185,41,1
13,354980505000145,88,64,0,0,0,0,0,16,0
13,354980505000148,384,251,0,0,0,0,100,17,7
13,354980505000149,610,513,0,0,0,0,249,74,0
13,354980505000151,372,215,2,0,0,0,109,51,9
13,354980505000152,531,467,1,0,1,0,124,106,29
13,354980505000157,27,16,0,0,0,0,0,0,0
13,354980505000158,64,15,0,0,0,0,0,0,0
13,354980505000159,106,46,0,0,0,0,0,39,0
13,354980505000166,357,315,0,0,0,0,147,23,0
13,354980505000169,368,216,3,0,0,0,21,62,14
13,354980505000171,449,227,0,0,1,0,0,97,17
13,354980505000201,99,86,2,0,0,0,0,4,0
13,354980505000204,76,86,0,0,0,0,0,5,0
13,354980505000426,300,234,0,0,0,0,79,21,0
13,354980505000427,27,9,0,0,0,0,0,0,0
13,354980505000428,13,0,0,0,0,0,0,0,0
13,354980505000429,174,142,0,0,0,0,0,21,0
13,354980505000440,24,11,0,0,0,0,0,10,0
13,354980505000507,65,34,0,0,0,0,19,7,2
13,354980505000693,214,269,0,0,0,0,81,39,0
13,354980505000694,26,8,0,0,0,0,0,10,0
13,354980505000695,435,347,0,0,0,0,249,50,4
13,354980505000696,296,159,0,0,0,0,187,3,0
13,354980505000697,349,318,0,0,0,0,184,53,0
13,354980505000698,159,126,0,0,0,0,78,49,0
13,354980505000699,32,34,0,0,0,0,22,0,0
13,354980505000700,114,59,0,0,0,0,58,1,1
13,354980505000701,90,41,0,0,0,0,43,28,0
13,354980505000702,11,2,0,0,0,0,0,0,0
13,354980505000703,483,377,0,0,0,0,230,53,3
13,354980505000704,266,168,0,0,0,0,182,46,1
13,354980505000705,240,133,0,0,0,0,103,48,2
13,354980505000706,386,358,0,0,0,0,124,26,0
13,354980505000707,341,246,0,0,0,0,82,22,1
13,354980505000708,217,160,0,0,0,0,43,9,0
13,354980505000713,85,90,0,0,0,0,0,8,0
13,354980505000715,1,0,0,0,1,0,0,1,0
13,354980505000716,29,11,0,0,0,0,0,12,0
13,354980505000717,18,9,0,0,0,0,0,10,0
13,354980505000718,23,7,0,0,0,0,0,6,0
13,354980505000719,49,6,0,0,0,0,0,0,0
13,354980505000720,28,16,0,0,0,0,0,0,0
13,354980505000721,46,17,0,0,0,0,0,38,0
13,354980505000723,263,157,1,0,3,0,84,24,21
13,354980505000724,256,235,0,0,0,0,115,56,9
13,354980505000725,221,155,0,0,0,0,120,32,1
13,354980505000726,243,232,0,0,0,0,0,115,9
13,354980505000727,447,377,0,0,0,0,115,90,15
13,354980505000728,125,128,0,0,0,0,0,4,0
13,354980505000729,190,198,0,0,0,0,0,18,1
13,354980505000755,253,99,0,0,0,0,0,53,1
13,354980505000756,63,10,0,0,0,0,0,25,0
13,354980505000757,10,1,0,0,0,0,0,9,4
13,354980505000758,54,68,0,0,0,0,0,6,2
13,354980505000759,17,24,0,0,0,0,0,3,0
13,354980505000760,50,55,0,0,0,0,0,4,4
13,354980505000761,52,75,1,0,0,0,0,0,0
13,354980505000762,18,24,0,0,0,0,0,0,0
13,354980505000763,16,31,0,0,0,0,0,0,0
13,354980505000764,14,0,0,0,0,0,0,6,0
13,354980505000765,64,40,0,0,0,0,0,13,0
13,354980505000766,94,57,0,0,0,0,0,55,0
13,354980505000767,40,26,0,0,0,0,0,32,0
13,354980505000768,137,49,0,0,0,0,0,3,2
13,354980505000769,122,71,0,0,1,0,0,15,0
13,354980505000814,10,9,0,0,0,0,0,0,0
13,354980505000815,89,14,0,0,2,0,0,20,0
13,354980505000816,22,4,0,0,0,0,0,1,0
13,354980505000817,17,12,0,0,0,0,0,1,0
13,354980505000818,18,11,0,0,0,0,0,2,0
13,354980505000819,6,2,0,0,0,0,0,2,0
13,354980505001148,0,1,0,0,0,0,0,0,0
13,354980505001149,23,14,0,0,0,0,0,5,0
13,354980505001150,467,280,0,0,0,0,85,139,19
13,354980505001151,128,73,1,0,0,0,0,16,0
13,354980505001152,325,279,0,0,0,0,0,89,1
13,354980505001153,471,238,0,0,0,0,0,181,9
13,354980505001158,8,80,0,0,0,0,0,2,0
13,354980505001240,61,43,0,0,0,0,29,1,0
13,354980505001246,7,1,0,0,0,0,0,0,0
13,354980505001251,13,0,0,0,1,0,2,3,0
13,354980505001252,157,80,0,0,0,0,74,5,0
14,354980505000803,27,46,1,0,2,0,0,3,0
14,354980510000003,29,15,0,0,0,0,0,12,3
14,354980510000034,513,371,0,0,0,0,0,27,0
14,354980510000035,588,384,0,0,0,0,0,60,0
14,354980510000036,476,334,0,0,0,0,0,128,3
14,354980510000047,142,147,2,0,1,0,0,6,1
14,354980510000048,409,298,0,0,0,0,0,5,0
14,354980510000049,329,205,1,0,0,0,0,10,0
14,354980510000050,416,394,1,0,0,1,0,9,0
14,354980510000051,146,105,2,0,0,0,0,61,1
14,354980510000052,343,310,2,0,0,0,2,61,0
14,354980510000053,182,87,0,0,0,0,0,104,4
14,354980510000054,71,62,0,0,0,0,0,2,0
14,354980510000083,318,298,0,0,0,0,0,110,4
14,354980510000085,276,330,0,0,1,0,0,42,1
14,354980510000086,273,401,0,0,0,0,1,121,0
14,354980510000088,229,278,0,0,0,0,0,8,0
14,354980510000089,179,277,0,0,0,0,0,48,2
14,354980510000090,138,202,0,0,0,0,0,50,1
14,354980510000091,299,391,0,0,1,0,0,98,1
14,354980510000092,291,219,0,0,0,0,0,152,11
14,354980510000093,208,114,0,0,0,1,0,123,4
14,354980510000100,86,40,0,0,0,0,0,36,0
14,354980510000101,41,21,0,0,0,0,0,18,0
15,354980505000336,588,363,1,0,1,0,26,54,1
15,354980505000349,162,214,4,0,0,0,0,5,0
15,354980505000351,718,752,0,0,0,0,0,41,5
15,354980505000352,538,412,0,0,0,0,85,15,1
15,354980505000353,709,526,0,0,2,0,42,23,1
15,354980505000354,1279,596,1,0,0,0,441,8,1
15,354980505000381,413,360,1,0,0,0,0,29,2
15,354980505000383,272,307,0,0,0,0,42,16,0
15,354980505000384,697,508,1,0,0,0,171,20,3
15,354980505000385,1059,775,0,0,1,0,499,31,3
15,354980505000386,798,536,1,0,1,0,344,28,2
15,354980505000387,518,355,1,0,0,0,277,23,2
15,354980505000388,483,352,4,0,1,0,304,7,2
15,354980505000404,417,235,0,0,0,0,0,2,2
15,354980505000462,478,318,0,0,2,0,0,43,2
15,354980505000637,194,114,0,0,0,0,0,14,1
15,354980505000638,105,121,0,0,0,0,0,5,2
15,354980505000647,119,81,1,0,1,0,0,7,1
15,354980505000648,174,79,0,0,0,0,51,2,0
15,354980505000649,291,209,1,0,0,0,159,16,0
15,354980505000650,787,350,1,0,0,0,347,0,2
15,354980505001108,147,185,0,0,0,0,0,1,0
15,354980505001109,161,97,0,0,0,0,0,13,1
15,354980505001175,227,103,0,0,1,0,0,13,2
15,354980505001176,541,341,0,0,0,0,0,13,0
16,354980505000227,259,152,0,0,0,0,170,5,1
16,354980505000228,285,197,0,0,0,0,147,4,1
16,354980505000230,156,92,0,0,0,0,100,3,1
16,354980505000232,431,332,1,0,0,0,173,8,0
16,354980505000233,386,279,0,0,0,0,158,4,0
16,354980505000247,496,361,0,0,0,0,275,4,0
16,354980505000248,557,364,2,0,1,0,260,19,4
16,354980505000266,45,38,1,0,0,0,0,4,0
16,354980505000267,196,178,0,0,0,0,0,2,0
16,354980505000441,630,424,0,0,1,0,97,12,0
16,354980505000448,92,147,0,0,0,0,0,5,0
16,354980505000824,221,276,0,0,0,0,70,2,0
16,354980505000825,234,218,0,0,0,0,55,4,2
16,354980505000826,324,312,0,0,0,0,92,3,2
16,354980505000827,526,398,2,0,0,0,211,3,0
16,354980505000833,93,177,0,0,0,0,0,6,1
16,354980505000834,151,218,2,0,0,0,0,4,0
16,354980505000835,213,349,0,0,0,0,0,5,0
16,354980505000836,146,218,0,0,0,0,0,2,0
16,354980505000837,349,569,0,0,0,0,30,9,2
16,354980505000838,265,170,1,0,1,0,0,9,1
16,354980505001134,149,263,0,0,0,0,0,0,2
